Date,Note
2024-07-23,Back
2025-07-23,Back
2025-07-26,Chest
2025-07-29,Legs
2025-07-30,Back
2025-08-01,chest
2025-08-03,legs
2025-08-05,back
2025-08-06,chest
2025-08-08,legs
2025-08-12,legs
2025-08-11,chest
2025-08-09,back
2025-08-13,back
2025-08-15,chest
2025-08-16,legs
2025-08-18,back
2025-08-19,chest
2025-08-20,legs
2025-08-21,back
2025-08-23,chest
2025-08-26,back
2025-08-27,legs
2025-08-29,chest
2025-09-03,back
2025-09-05,legs
2025-09-07,chest
2025-09-10,back
2025-09-12,chest
2025-09-13,legs
2025-09-14,back
2025-09-17,chest
2025-09-20,legs
2025-09-21,back
2025-09-23,chest
2025-09-24,legs
2025-09-28,back
2025-09-30,chest
2025-10-05,legs
2025-10-07,back
2025-10-11,chest
2025-10-14,legs
2025-10-16,back
2025-10-18,chest
2025-10-19,legs
2025-10-21,back
2025-10-23,chest
2025-10-27,legs
2025-10-29,back
2025-11-01,chest
2025-11-03,legs
2025-11-05,back
2025-11-06,chest
2025-11-09,legs
2025-11-13,back
2025-11-15,chest
2025-11-17,legs
2025-12-03,back
2025-12-05,chest
2025-12-08,legs
2025-12-13,back
2025-12-14,chest
2025-12-15,legs
2025-12-17,back
2025-12-18,chest
2025-12-21,legs
2025-12-23,back
2025-12-26,chest
2025-12-27,legs
2025-12-29,back
2025-12-31,chest
2026-01-02,legs
2026-01-03,back
2026-01-05,chest
2026-01-08,legs
2026-01-09,back
2026-01-10,chest
2026-01-11,legs
2026-01-12,back
2026-01-14,chest
2026-01-15,legs
2026-01-17,back
2026-01-19,chest
2026-01-21,legs
2026-01-23,back
2026-01-25,chest
2026-01-27,legs
2026-01-28,back
2026-01-30,chest
2026-02-02,legs
2026-02-07,legs
2026-02-13,legs
2026-02-16,legs
2026-02-24,legs
2026-03-02,legs
2026-03-11,legs
2026-03-17,legs
2026-03-26,legs
2026-02-04,back
2026-02-10,back
2026-02-14,back
2026-02-18,back
2026-02-27,back
2026-03-07,back
2026-03-12,back
2026-03-24,back
2026-03-25,chest
2026-03-15,chest
2026-03-01,chest
2026-02-20,chest
2026-02-15,chest
2026-02-11,chest
2026-02-06,chest
2026-03-27,back
2026-03-28,chest
